"table","in_physical_list","in_biblio","in_metadata","n_categories","dropped_by_ncat_filter","in_tags","reason"
"bang_2023_anxiety",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bang_2023_depression",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bang_2023_health",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bang_2023_parenting_stress",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bang_2023_self_esteem",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bitew_2020_anxiety",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bitew_2020_lte",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bitew_2020_osss3",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bitew_2020_phq9",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"bitew_2020_self_efficacy",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"boni_2018_mbi_ss",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"boudreau_2022_police_reform",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"buzgova_2023_gai",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"buzgova_2023_gds",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"buzgova_2023_lsita",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"buzgova_2023_qol",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"buzgova_2023_rses",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"buzgova_2023_soc",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chatton2024_honos13",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"che_2026_regulatory_self_efficacy",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"che_2026_social_support",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"che_2026_social_wellbeing",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"che_2026_upward_social_comparison",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"che_2026_upward_social_identity",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2022_cls",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2022_ses",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2022b_psychabuse",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2022b_selfesteem",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2022b_socsupport",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2025_activity_motivation",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2025_body_image",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2025_peer_support",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2025_self_esteem",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2026_mpa",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2026_sa",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen2026_sc",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chen_2022_sasc",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chowdhury2026_ai_intentions",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chowdhury2026_ai_literacy",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"chowdhury2026_ai_vignette",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"cinar_tanriverdi_2023_gad7",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"cinar_tanriverdi_2023_pmss",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"clifford_2018_police_blame",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"conspiracy_asd__asd_aq10",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"conspiracy_asd__cognitive_flexibility",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"conspiracy_asd__conspiracy_gcbs",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"conspiracy_asd__schizotypy",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"conspiracy_asd__thinking_styles",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"contreras_valdez_2022_bsq",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"contreras_valdez_2022_edeq",TRUE,TRUE,TRUE,31,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"contreras_valdez_2022_rses",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"cordova2019_clinical_edu_environment",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"cormier_2024_cognitive_decline",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"cormier_2024_personality",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"cormier_2024_phq4",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"cormier_2024_pss4",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"di_riso_2025_contact_behavior",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"di_riso_2025_mask_emotion",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"divia_2025_tiktok_fomo_shopping",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dong_2024_ccaiq",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dong_2024_engagement",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dopmeijer_2022_loneliness",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dopmeijer_2022_performance_pressure",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dopmeijer_2022_sense_belonging",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dopmeijer_2022_ubos",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dou2025_ans",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dou2025_area",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dou2025_wcts",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dpt_noncog__emotional_intelligence",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dpt_noncog__grit",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dpt_noncog__interpersonal_reactivity",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dpt_noncog__intolerance_of_uncertainty",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dpt_noncog__psychological_flexibility",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dpt_noncog__social_intelligence",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"duboz_2021_pss10",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"duboz_2021_swls",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_cpc12",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_cpc12_study3",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_engagement",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_gratitude",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_job_satisfaction",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_performance",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_positive_affect",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_social_support",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dudasova_2021_swls",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"dulger2024_wordcompletion",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"emidy2024_fevs",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_ant_flanker",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_dpx_axcpt",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_gonogo",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_navon",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_simon",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_stopsignal",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_stroop",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"enkavi_2019_taskswitch",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"fang_2022_achievement_emotions",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"feng2026_autonomy",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"feng2026_behavioral_intention",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"feng2026_competence",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"feng2026_ec",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"feng2026_intrinsic_motivation",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"feng2026_perceived_ease_of_use",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"feng2026_perceived_usefulness",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"frikha_2023_pe_acrs",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"frikha_2023_pe_ms",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"galindo_2023_beliefs",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"galindo_2023_emotional_intelligence",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"galindo_2023_loneliness",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"galindo_2023_social_support",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gan_2015_cesd",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gan_2015_rrs",TRUE,TRUE,TRUE,3,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gan_2015_ucla_loneliness",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gao2025_attachment_anxiety",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gao2025_attachment_avoidance",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gao2025_family_support",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gao2025_spiritual_wellbeing",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gao2025_sse",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"germann_2026_environment",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"germann_2026_immigration",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"germann_2026_national_identity",TRUE,TRUE,TRUE,11,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"germann_2026_redistribution",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"germann_2026_state_intervention",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gilbert_meta_109",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gilbert_meta_110",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"gilbert_meta_111",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hao_2025_emotional_regulation",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hao_2025_foreign_language_anxiety",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hao_2025_metacognitive_regulation",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hao_2025_self_efficacy",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hao_2025_social_regulation",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hellstrom_2019_isi",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hellstrom_2019_psqi",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hellstrom_2019_pss14",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hellstrom_2019_sci",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hirwa_2024_antibiotic_attitudes",TRUE,TRUE,TRUE,3,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hoorani_2022_child_help",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hoorani_2022_epreas",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hoorani_2022_nps",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hoorani_2022_ps",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hoorani_2022_sp",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hui_2024_gbfs",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hui_2024_pss10",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"hui_2024_who5",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"ilic2019_cddq",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"imps2025_hf",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"iwasa_2016_asi",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"iwasa_2016_dpssr",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"iwasa_2016_padua_inventory",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"iwasa_2016_stai_trait",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_academic_stress",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_emotional",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_personal_growth",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_proactivity",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_psychological_wellbeing",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_purpose_in_life",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_self_efficacy",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_social_anxiety",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_social_outcomes",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_social_support",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeilani_2024_social_support_family",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeon_2019_cbi",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jeon_2019_cesd10",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jiang_2021_resilience",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jordan_2020_burnout",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jordan_2020_mindfulness",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jordan_2020_pss10",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jordan_2020_resilience",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jutte_2024_loneliness",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"jutte_2024_personality",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kang_2024_ai_adoption",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"karajko2025_ai_benefit",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"karajko2025_ai_governance",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"karajko2025_ai_risk",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"karajko2025_ai_trust",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kern_2021_connectedness",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kern_2021_engagement",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kern_2021_happiness",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kern_2021_learning",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kern_2021_life_satisfaction",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kim2020_ams",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kinyanjui_2023_substance_use",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"koirala_2024_brief_cope",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"koirala_2024_pss10",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kolomiets_2026_career_match",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kraft_todd_2017_care_measure",TRUE,TRUE,TRUE,6,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kraft_todd_2017_competence",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kraft_todd_2017_panas",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kraft_todd_2017_warmth",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kurach2026_financial_literacy",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kushnir2017_anrt",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kushnir2017_bfi",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kushnir2017_ftnd",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"kushnir2017_tsrq",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"lee2024_relative_clause",TRUE,TRUE,TRUE,2,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"leon_guereno_2020_breq",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"leon_guereno_2020_resilience",TRUE,TRUE,TRUE,5,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"li_2026_imi_teq",TRUE,TRUE,TRUE,7,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"liang2026_extrinsic_motivation",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"liang2026_intrinsic_motivation",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
"liang_2026_extrinsic_motivation",TRUE,TRUE,TRUE,4,FALSE,FALSE,"missing from tags sheet (tags:7nkh)"
